name;stars;contributors;commits;sbom_code;URL;path;dependencies;licenses;critical;high;medium;low;quality;format;version
github.com/sthagen/portinvartija;1;0;0;yzzoud7rpcybomtundoo.yaml;https://github.com/sthagen/portinvartija/blob/ec4b649846581298fa29b75b4e7813488fcce112/etc/sbom/spdx.yaml;etc/sbom/spdx.yaml;11;0;0;0;0;0;6.96;YAML;SPDX
github.com/sthagen/portinvartija;1;0;0;md602ezhblglhp9n4596.json;https://github.com/sthagen/portinvartija/blob/ec4b649846581298fa29b75b4e7813488fcce112/etc/sbom/spdx.json;etc/sbom/spdx.json;11;0;0;0;0;0;6.96;JSON;SPDX
github.com/sthagen/portinvartija;1;0;0;dabczvwpz6n8hhxo4ky5.spdx;https://github.com/sthagen/portinvartija/blob/ec4b649846581298fa29b75b4e7813488fcce112/etc/sbom/spdx.spdx;etc/sbom/spdx.spdx;0;0;0;0;0;0;6.96;SPDX;SPDX
github.com/sthagen/portinvartija;1;0;0;iwjbphb17qs5fkszvlgn.json;https://github.com/sthagen/portinvartija/blob/ec4b649846581298fa29b75b4e7813488fcce112/etc/sbom/cdx.json;etc/sbom/cdx.json;11;0;0;0;0;0;5.65;JSON;CycloneDX
github.com/sthagen/prosessilouhinta;3;0;0;gw6g0si7jxozfwckwmam.yaml;https://github.com/sthagen/prosessilouhinta/blob/aa9f04acaeac5607c611e9d6f31ef065667c1042/etc/sbom/spdx.yaml;etc/sbom/spdx.yaml;1;0;0;0;0;0;6.96;YAML;SPDX
github.com/sthagen/prosessilouhinta;3;0;0;erfm4nek09kk8qgku4tx.json;https://github.com/sthagen/prosessilouhinta/blob/aa9f04acaeac5607c611e9d6f31ef065667c1042/etc/sbom/spdx.json;etc/sbom/spdx.json;1;0;0;0;0;0;6.96;JSON;SPDX
github.com/sthagen/prosessilouhinta;3;0;0;n84sy9krc8d5gco1opiu.spdx;https://github.com/sthagen/prosessilouhinta/blob/aa9f04acaeac5607c611e9d6f31ef065667c1042/etc/sbom/spdx.spdx;etc/sbom/spdx.spdx;0;0;0;0;0;0;6.96;SPDX;SPDX
github.com/sthagen/prosessilouhinta;3;0;0;mg1qapr8mb0e7rasgm6y.json;https://github.com/sthagen/prosessilouhinta/blob/aa9f04acaeac5607c611e9d6f31ef065667c1042/etc/sbom/cdx.json;etc/sbom/cdx.json;1;0;0;0;0;0;5.65;JSON;CycloneDX
github.com/sthagen/puhdistusalue;2;0;0;zzantqbybsc0uf1l1606.yaml;https://github.com/sthagen/puhdistusalue/blob/528f144af11119ebd604b301814306e3bb4e145b/etc/sbom/spdx.yaml;etc/sbom/spdx.yaml;1;0;0;0;0;0;6.96;YAML;SPDX
github.com/sthagen/puhdistusalue;2;0;0;92u55i2p3lb2q71l9in8.json;https://github.com/sthagen/puhdistusalue/blob/528f144af11119ebd604b301814306e3bb4e145b/etc/sbom/spdx.json;etc/sbom/spdx.json;1;0;0;0;0;0;6.96;JSON;SPDX
github.com/sthagen/puhdistusalue;2;0;0;drgoqt21jqfrmvwp7mpf.spdx;https://github.com/sthagen/puhdistusalue/blob/528f144af11119ebd604b301814306e3bb4e145b/etc/sbom/spdx.spdx;etc/sbom/spdx.spdx;0;0;0;0;0;0;6.96;SPDX;SPDX
github.com/sthagen/puhdistusalue;2;0;0;fvhhvzgptgre78rdi52r.json;https://github.com/sthagen/puhdistusalue/blob/528f144af11119ebd604b301814306e3bb4e145b/etc/sbom/cdx.json;etc/sbom/cdx.json;1;0;0;0;0;0;5.65;JSON;CycloneDX
github.com/sthagen/puristaa;2;0;0;4fsxzjs50fvhgrwc88g5.yaml;https://github.com/sthagen/puristaa/blob/65c13371126f83dd243eb323385b3a24fec75dec/etc/sbom/spdx.yaml;etc/sbom/spdx.yaml;0;0;0;0;0;0;3.7;YAML;SPDX
github.com/sthagen/puristaa;2;0;0;xqm41j0q1huo6sy7ydx4.json;https://github.com/sthagen/puristaa/blob/65c13371126f83dd243eb323385b3a24fec75dec/etc/sbom/spdx.json;etc/sbom/spdx.json;0;0;0;0;0;0;3.7;JSON;SPDX
github.com/sthagen/puristaa;2;0;0;cr9bc4t3wbg5w33ojnyp.spdx;https://github.com/sthagen/puristaa/blob/65c13371126f83dd243eb323385b3a24fec75dec/etc/sbom/spdx.spdx;etc/sbom/spdx.spdx;0;0;0;0;0;0;3.7;SPDX;SPDX
github.com/sthagen/puristaa;2;0;0;fj7okix8jpqa0izzu7lj.json;https://github.com/sthagen/puristaa/blob/65c13371126f83dd243eb323385b3a24fec75dec/etc/sbom/cdx.json;etc/sbom/cdx.json;0;0;0;0;0;0;3.26;JSON;CycloneDX
github.com/sthagen/putki;0;0;0;hun91kodbo2dwd0w6c5q.yaml;https://github.com/sthagen/putki/blob/ddfccb8fb6cf8fcd90ea5873c3d32dd3d1b95de5/etc/sbom/spdx.yaml;etc/sbom/spdx.yaml;4;0;0;0;0;0;6.96;YAML;SPDX
github.com/sthagen/putki;0;0;0;n9j6677ofqqh0t0zbiiw.json;https://github.com/sthagen/putki/blob/ddfccb8fb6cf8fcd90ea5873c3d32dd3d1b95de5/etc/sbom/spdx.json;etc/sbom/spdx.json;4;0;0;1;0;0;6.96;JSON;SPDX
github.com/sthagen/putki;0;0;0;1zbxfea47l9wz1nlqjr5.spdx;https://github.com/sthagen/putki/blob/ddfccb8fb6cf8fcd90ea5873c3d32dd3d1b95de5/etc/sbom/spdx.spdx;etc/sbom/spdx.spdx;0;0;0;1;0;0;6.96;SPDX;SPDX
